0.79433 0.22809 0.18586 0.16117 0.14404
0.68504 0.38962 0.30531 0.25741 0.22842
0.59078 0.54828 0.42367 0.3598 0.32078
0.5095 0.65991 0.53981 0.46787 0.42676
0.4394 0.78844 0.65841 0.59128 0.54709
0.37894 0.93213 0.80033 0.732 0.6864
0.3268 1.0883 0.95977 0.88983 0.84342
0.28184 1.2544 1.1205 1.0589 1.0082
0.24306 1.403 1.2968 1.2223 1.1783
0.20962 1.5557 1.4479 1.3815 1.3435
0.18078 1.6999 1.5925 1.5396 1.4937
0.1559 1.8349 1.7266 1.6786 1.6388
0.13445 1.9323 1.8589 1.8077 1.7686
0.11595 2.0509 1.9628 1.9178 1.8938
0.1 2.1473 2.0748 2.0298 2.0011
