0.79433 0.21897 0.17711 0.15322 0.1371
0.58115 0.50253 0.38527 0.32529 0.29117
0.42518 0.67044 0.54173 0.47807 0.44084
0.31107 0.78225 0.6711 0.61322 0.5825
0.22758 0.86069 0.76869 0.72922 0.70431
0.16651 0.92934 0.85272 0.8249 0.8088
0.12182 0.98112 0.92576 0.90371 0.89651
0.089125 1.0256 0.98985 0.97657 0.97185
0.065206 1.0745 1.045 1.0345 1.0357
0.047706 1.1043 1.092 1.0848 1.0902
0.034903 1.1513 1.1306 1.1323 1.1361
0.025535 1.1689 1.1639 1.1704 1.1765
0.018682 1.1931 1.1988 1.2064 1.2135
0.013668 1.2169 1.2234 1.2306 1.2485
0.01 1.2342 1.2496 1.2648 1.2741
