0.79433 1.9981 3.1975 4.3475 5.4752
0.58115 4.0944 7.1859 10.139 12.933
0.42518 6.585 11.786 16.683 21.216
0.31107 10.275 17.797 24.397 30.451
0.22758 13.446 23.091 32.036 40.537
0.16651 16.246 29.141 41.325 53.216
0.12182 17.989 34.037 49.494 64.952
0.089125 18.989 36.878 54.682 72.864
0.065206 19.738 39.173 59.061 79.324
0.047706 20.261 41.406 62.781 84.541
0.034903 20.985 43.267 65.915 89.175
0.025535 21.634 44.773 68.698 92.871
0.018682 22.026 46.199 70.941 96.187
0.013668 22.626 47.496 72.989 98.833
0.01 22.918 48.517 74.677 101.34
