5 0.050573 0.06375 0.060937
10 0.09151 0.048854 0.052292
15 0.23938 0.052552 0.046615
20 0.3362 0.037917 0.057708
25 0.42432 0.054427 0.082969
30 0.45115 0.063698 0.12193
35 0.46026 0.062865 0.13516
40 0.48229 0.067917 0.17203
45 0.46349 0.055417 0.19672
50 0.47156 0.070469 0.23958
55 0.48115 0.078906 0.27266
60 0.47083 0.072969 0.30411
65 0.48745 0.090365 0.33578
70 0.48786 0.09724 0.35755
75 0.48458 0.080833 0.37745
80 0.48219 0.10099 0.38844
85 0.4774 0.094427 0.39302
90 0.46339 0.090208 0.38849
95 0.47911 0.12109 0.41682
100 0.47781 0.11687 0.40859
