4 0.059267 0.059499 0.059505 0.0041935 0.004075 0.0040769
8 0.096262 0.098009 0.098446 0.019338 0.018054 0.018264
12 0.12256 0.12685 0.12803 0.039741 0.036173 0.037052
16 0.14481 0.1515 0.15384 0.062133 0.055674 0.057697
20 0.16487 0.17388 0.17792 0.085606 0.075459 0.07919
24 0.18401 0.1947 0.20109 0.10953 0.095019 0.10113
28 0.20221 0.21424 0.22374 0.13391 0.11399 0.12333
32 0.22 0.23302 0.24593 0.1585 0.13216 0.14575
36 0.23918 0.25094 0.26851 0.1824 0.14938 0.16798
40 0.25771 0.26518 0.28815 0.20663 0.16711 0.19166
44 0.27684 0.28102 0.31007 0.23055 0.18293 0.21421
48 0.29602 0.29487 0.33051 0.25446 0.19846 0.2375
52 0.31563 0.30803 0.35144 0.27815 0.21256 0.26054
56 0.33586 0.32106 0.37199 0.30154 0.2265 0.28377
60 0.35525 0.33347 0.39327 0.32534 0.23953 0.30664
