0.79433 4.5619 7.4344 9.6702 11.523
0.68504 7.7925 12.213 15.444 18.274
0.59078 10.966 16.947 21.588 25.662
0.5095 13.198 21.593 28.072 34.141
0.4394 15.769 26.336 35.477 43.767
0.37894 18.642 32.013 43.92 54.912
0.3268 21.766 38.391 53.39 67.474
0.28184 25.088 44.82 63.531 80.659
0.24306 28.061 51.871 73.34 94.264
0.20962 31.114 57.917 82.891 107.48
0.18078 33.998 63.7 92.374 119.5
0.1559 36.697 69.064 100.71 131.1
0.13445 38.647 74.356 108.46 141.49
0.11595 41.017 78.511 115.07 151.51
0.1 42.946 82.991 121.79 160.09
