0.79433 0.00019196 0.0009988 0.0022969 0.0040135
0.68504 0.0032366 0.0065769 0.0097526 0.012499
0.59078 0.022902 0.027319 0.029571 0.031243
0.5095 0.065192 0.06716 0.066592 0.063098
0.4394 0.12725 0.12464 0.12031 0.11229
0.37894 0.2067 0.2032 0.1926 0.17786
0.3268 0.30777 0.29846 0.28048 0.26104
0.28184 0.41848 0.40684 0.38307 0.35445
0.24306 0.53622 0.51977 0.48844 0.45347
0.20962 0.64915 0.62827 0.5922 0.55164
0.18078 0.76311 0.73387 0.69586 0.64613
0.1559 0.8656 0.83136 0.78916 0.73372
0.13445 0.95986 0.92525 0.87286 0.81351
0.11595 1.049 1.0071 0.95401 0.88851
0.1 1.1316 1.0855 1.028 0.95647
