5 1.2034 1.2191 1.2318 0.10194 0.073327 0.078645
10 1.293 1.3147 1.3538 0.21205 0.11055 0.13317
15 1.3928 1.3668 1.4328 0.34958 0.13891 0.18401
20 1.5033 1.4021 1.4952 0.48616 0.15648 0.22572
25 1.6217 1.4248 1.5499 0.64508 0.18024 0.27974
30 1.7317 1.4435 1.595 0.82027 0.19498 0.3298
35 1.8513 1.4605 1.64 0.98848 0.20969 0.37855
40 1.9689 1.475 1.6842 1.1663 0.22534 0.43437
45 2.101 1.4929 1.7325 1.3365 0.23176 0.48309
50 2.2393 1.509 1.7811 1.5288 0.24556 0.54592
55 2.3822 1.5218 1.8298 1.7333 0.25378 0.60577
60 2.5209 1.5265 1.8745 1.9434 0.26765 0.68378
65 2.646 1.5383 1.9216 2.1618 0.27258 0.75375
70 2.8043 1.5412 1.9727 2.4141 0.28762 0.85232
75 2.955 1.5558 2.0355 2.6547 0.29189 0.93413
80 3.096 1.5555 2.0835 2.9085 0.30224 1.0358
85 3.263 1.5725 2.1581 3.1689 0.30842 1.1407
90 3.4243 1.5837 2.234 3.4281 0.31532 1.246
95 3.577 1.5814 2.2939 3.747 0.3327 1.392
100 3.7221 1.5861 2.3663 4.0417 0.33878 1.526
