4 1.3667 1.331 1.3311 0.1476 0.14576 0.14581
8 1.8136 1.7445 1.7479 0.47714 0.43013 0.43346
12 2.0538 1.9493 1.9561 0.85642 0.68828 0.69878
16 2.2408 2.0816 2.0927 1.266 0.90412 0.92387
20 2.4165 2.1782 2.1943 1.7226 1.0931 1.1244
24 2.5956 2.2596 2.2826 2.2052 1.2529 1.2992
28 2.7755 2.3296 2.3609 2.7338 1.3951 1.4599
32 2.9623 2.394 2.434 3.265 1.5226 1.6114
36 3.1725 2.4583 2.5117 3.7747 1.6329 1.7498
40 3.3572 2.4923 2.5592 4.3251 1.7522 1.9026
44 3.5688 2.5402 2.6238 4.8241 1.8488 2.0374
48 3.7629 2.5788 2.6796 5.3077 1.9462 2.1792
52 3.9391 2.6121 2.7332 5.7504 2.0384 2.3225
56 4.0981 2.6541 2.7959 6.1268 2.1165 2.4554
60 4.2257 2.6902 2.8562 6.4316 2.1911 2.5846
