5 0.06455 0.066121 0.069135 0.0072233 0.0040828 0.0049406
10 0.10557 0.10079 0.1176 0.025982 0.01263 0.020018
15 0.13456 0.12253 0.15702 0.050691 0.022015 0.039561
20 0.16133 0.14009 0.19255 0.076597 0.029659 0.061186
25 0.18736 0.1521 0.22345 0.10278 0.036591 0.084886
30 0.21213 0.16222 0.25254 0.12942 0.042273 0.10937
35 0.2377 0.17231 0.28107 0.15586 0.048408 0.13435
40 0.26287 0.17942 0.30773 0.18213 0.053837 0.15977
45 0.28968 0.18881 0.33657 0.20848 0.058756 0.18537
50 0.31555 0.1955 0.36131 0.23439 0.063816 0.21152
55 0.34243 0.20183 0.387 0.26022 0.06819 0.23798
60 0.36867 0.20706 0.41201 0.28653 0.072566 0.26505
65 0.3938 0.21246 0.43609 0.31257 0.076415 0.29125
70 0.42005 0.21642 0.45936 0.33849 0.079657 0.31843
75 0.44593 0.22238 0.4843 0.36513 0.084597 0.34589
80 0.47055 0.22671 0.50702 0.39204 0.087876 0.37346
85 0.49683 0.23157 0.53094 0.41809 0.09182 0.40083
90 0.52278 0.23592 0.55581 0.4448 0.095333 0.42826
95 0.54616 0.23921 0.57729 0.47145 0.098757 0.45538
100 0.57054 0.2423 0.5996 0.49801 0.10285 0.48315
